======================================================================
KIRMA AUTOMATION V1.0.0
======================================================================
Inicio: 2026-09-17 13:15:42
Duracion prevista: 4 hora(s)
Intervalo: 1.0 segundo(s)
Autorizacion: confirmada por el operador al iniciar el programa.
Solo se registra la aplicacion en primer plano.
16:42:35 | chrome.exe -> explorer.exe
16:42:37 | explorer.exe -> chrome.exe
16:44:23 | chrome.exe -> explorer.exe
16:44:26 | explorer.exe -> chrome.exe
16:44:28 | chrome.exe -> DESCONOCIDO
16:44:29 | DESCONOCIDO -> chrome.exe
16:46:44 | chrome.exe -> DESCONOCIDO
16:46:45 | DESCONOCIDO -> chrome.exe
16:47:09 | chrome.exe -> explorer.exe
16:47:11 | explorer.exe -> chrome.exe
16:47:32 | chrome.exe -> explorer.exe
16:47:36 | explorer.exe -> chrome.exe
16:48:01 | chrome.exe -> explorer.exe
16:48:03 | explorer.exe -> chrome.exe
16:50:02 | chrome.exe -> explorer.exe
16:50:03 | explorer.exe -> chrome.exe
16:50:57 | chrome.exe -> explorer.exe
16:50:59 | explorer.exe -> chrome.exe
16:51:02 | chrome.exe -> notepad.exe
16:51:20 | notepad.exe -> ScreenClippingHost.exe
16:51:33 | ScreenClippingHost.exe -> notepad.exe
16:51:41 | notepad.exe -> SearchApp.exe
16:51:44 | SearchApp.exe -> notepad.exe
16:51:46 | notepad.exe -> explorer.exe
16:51:48 | explorer.exe -> ApplicationFrameHost.exe
16:51:54 | ApplicationFrameHost.exe -> chrome.exe
17:14:48 | chrome.exe -> ApplicationFrameHost.exe
17:14:57 | ApplicationFrameHost.exe -> DESCONOCIDO

======================================================================
ANALISIS KIRMA AUTOMATION V1.0.0
======================================================================
Muestras: 13956
Cambios detectados: 149
Aplicaciones diferentes: 21

DURACION APROXIMADA POR APLICACION
chrome.exe: 12919.6 segundos (215.3 minutos)
DESCONOCIDO: 408.4 segundos (6.8 minutos)
explorer.exe: 241.4 segundos (4.0 minutos)
Photos.exe: 199.8 segundos (3.3 minutos)
msiexec.exe: 193.0 segundos (3.2 minutos)
notepad.exe: 96.1 segundos (1.6 minutos)
UiPath.Connected.Installer.Ui.exe: 71.1 segundos (1.2 minutos)
SearchApp.exe: 58.1 segundos (1.0 minutos)
ApplicationFrameHost.exe: 49.2 segundos (0.8 minutos)
WINWORD.EXE: 29.0 segundos (0.5 minutos)
WinRAR.exe: 25.0 segundos (0.4 minutos)
ScreenClippingHost.exe: 23.0 segundos (0.4 minutos)
ShellExperienceHost.exe: 15.1 segundos (0.3 minutos)
Antigravity.exe: 11.0 segundos (0.2 minutos)
python.exe: 9.0 segundos (0.2 minutos)
msedge.exe: 3.0 segundos (0.1 minutos)
AnyDesk.exe: 2.0 segundos (0.0 minutos)
LockApp.exe: 1.0 segundos (0.0 minutos)
rundll32.exe: 1.0 segundos (0.0 minutos)
StartMenuExperienceHost.exe: 1.0 segundos (0.0 minutos)
cmd.exe: 1.0 segundos (0.0 minutos)

TRANSICIONES MAS FRECUENTES
chrome.exe -> explorer.exe: 25 veces
explorer.exe -> chrome.exe: 24 veces
chrome.exe -> DESCONOCIDO: 5 veces
explorer.exe -> notepad.exe: 4 veces
notepad.exe -> explorer.exe: 4 veces
DESCONOCIDO -> chrome.exe: 4 veces
ApplicationFrameHost.exe -> chrome.exe: 4 veces
notepad.exe -> SearchApp.exe: 3 veces
SearchApp.exe -> explorer.exe: 3 veces
chrome.exe -> ApplicationFrameHost.exe: 3 veces

SECUENCIAS REPETITIVAS
PATRON DETECTADO: explorer.exe -> chrome.exe -> explorer.exe -> chrome.exe | Ocurrencias: 9
Estado: REQUIERE VALIDACION HUMANA
PATRON DETECTADO: chrome.exe -> explorer.exe -> chrome.exe -> explorer.exe | Ocurrencias: 8
Estado: REQUIERE VALIDACION HUMANA
PATRON DETECTADO: explorer.exe -> chrome.exe -> DESCONOCIDO -> chrome.exe | Ocurrencias: 3
Estado: REQUIERE VALIDACION HUMANA
PATRON DETECTADO: chrome.exe -> explorer.exe -> chrome.exe -> DESCONOCIDO | Ocurrencias: 3
Estado: REQUIERE VALIDACION HUMANA

No se registran teclas, contraseñas, capturas, contenido ni URLs.
Fin: 2026-09-17 17:59:20
